FS INT LIN:FS INT LIN;SS INT LIN:SS INT LIN;K+4-FITC:FL1 INT LOG;L+8-PE:FL2 INT LOG;CD56-ECD:FL3 INT LOG;CD5-PC5.5:FL4 INT LOG;CD10-PC7:FL5 INT LOG;CD20-APC:FL6 INT LOG;CD19-APC700:FL7 INT LOG;CD3-APC750:FL8 INT LOG;CD38-PB:FL9 INT LOG;CD45-KO:FL10 INT LOG;TIME:TIME;SS TOF LIN:SS TOF LIN;SS PEAK LOG:SS PEAK LOG;SS PEAK LIN:SS PEAK LIN;SS INT LOG:SS INT LOG;Simulated time
547;463;306;343;189;175;509;286;69;137;195;479;0;108;863;244;934;0
427;66;160;778;258;574;375;189;304;607;138;592;0;95;662;39;719;0
775;419;316;362;214;190;476;347;106;162;230;509;0;120;844;205;923;0
898;656;327;369;209;281;555;347;234;189;280;515;0;104;909;367;973;0
828;795;350;382;267;279;590;351;284;144;251;525;0;115;919;402;994;0
690;552;306;330;157;163;605;250;221;0;176;498;0;95;898;333;954;0
985;562;279;344;139;138;552;222;299;0;203;522;0;101;894;323;956;0
462;95;277;529;485;163;269;249;169;236;395;551;0;85;709;60;758;0
853;584;304;344;188;215;465;362;242;203;244;504;0;108;890;312;960;0
675;380;293;347;171;94;615;290;191;0;169;469;0;106;845;207;912;0
810;551;334;390;253;0;628;280;318;139;244;505;0;99;890;312;953;0
1023;616;581;488;238;633;556;318;360;593;267;605;0;104;890;310;966;0
938;998;392;404;355;201;156;362;339;175;359;520;0;95;961;591;1020;0
649;511;359;343;258;192;543;342;291;0;217;466;0;89;895;324;945;0
848;424;330;344;233;164;498;283;230;165;217;520;0;89;871;262;925;0
887;610;312;347;206;302;596;337;296;60;254;509;0;90;908;366;965;0
793;217;540;473;317;182;261;336;197;253;376;559;0;103;785;121;850;0
389;92;105;813;341;519;143;322;354;629;109;571;0;100;692;52;755;0
768;564;294;341;188;220;628;302;317;193;240;500;0;94;896;328;956;0
692;132;626;299;239;794;464;181;0;569;165;613;0;101;732;74;795;0
1023;586;298;324;264;143;617;230;335;176;233;464;0;100;898;334;960;0
691;99;631;300;71;695;370;337;101;641;154;603;0;92;707;59;763;0
335;82;219;794;269;652;0;166;232;628;142;580;0;96;685;49;742;0
859;465;278;318;221;187;577;216;307;136;216;520;0;93;878;280;935;0
630;428;298;353;140;258;501;350;202;253;201;468;0;109;855;226;926;0
474;73;558;189;149;659;388;324;243;655;187;567;0;94;673;43;730;0
1020;355;310;374;188;249;540;281;249;244;204;489;0;92;850;216;905;0
815;628;354;362;185;272;622;277;311;88;217;561;0;106;901;343;968;0
509;74;616;300;0;592;387;328;302;654;458;606;0;111;663;40;731;0
123;13;177;139;142;201;428;217;198;24;0;322;0;69;503;9;539;0
1023;555;351;373;216;164;581;308;289;291;245;490;0;100;891;313;954;0